"OBJECTID","STNO","STREET_NAM"
423,"00019","ROSS CIR"
424,"06217","ROSS CIR"
425,"06221","MANOA ST"
426,"06241","MANOA ST"
427,"06361","CLAREMONT AV"
428,"06249","CLAREMONT AV"
429,"06241","CLAREMONT AV"
430,"06231","CLAREMONT AV"
431,"06209","CLAREMONT AV"
432,"06007","AUBURN AV"
433,"06099","COLLEGE AV"
434,"06201","COLLEGE AV"
435,"06245","COLLEGE AV"
436,"06311","COLLEGE AV"
437,"00320","63RD ST"
438,"00320","ALCATRAZ AV"
439,"00328","63RD ST"
440,"06207","MANOA ST"
441,"06706","MANOR CREST"
442,"05924","CHAHOLYN TERR"
443,"05960","CHAHOLYN TERR"
444,"06674","CHABOT RD"
445,"06650","CHABOT RD"
446,"06616","CHABOT RD"
447,"06578","CHABOT RD"
448,"06500","CHABOT RD"
449,"06434","CHABOT RD"
450,"06596","CHABOT RD"
451,"06022","ROCKWELL ST"
452,"06401","HARWOOD AV"
453,"06429","HARWOOD AV"
454,"06505","HARWOOD AV"
455,"00060","EUCALYPTUS RD"
456,"00077","EUCALYPTUS RD"
457,"06425","MYSTIC ST"
458,"06226","ROCKWELL ST"
459,"06240","AUBURN AV"
460,"06218","AUBURN AV"
461,"06206","AUBURN AV"
462,"06381","FLORIO ST"
463,"06351","FLORIO ST"
464,"06200","COLLEGE AV"
465,"06256","COLLEGE AV"
466,"06250","FLORIO ST"
467,"06221","FLORIO ST"
468,"06200","CLAREMONT AV"
469,"06058","COLLEGE AV"
470,"00300","62ND ST"
471,"00331","62ND ST"
472,"06400","BENVENUE AV"
473,"06444","BENVENUE AV"
474,"06472","BENVENUE AV"
475,"06454","BENVENUE AV"
476,"06426","BENVENUE AV"
477,"06248","MYSTIC ST"
478,"03665","MYSTIC ST"
479,"06360","MYSTIC ST"
480,"06055","FLORIO ST"
481,"06451","FLORIO ST"
482,"06475","FLORIO ST"
483,"06242","ROCKWELL ST"
484,"06212","ROCKWELL ST"
485,"06036","ROCKWELL ST"
486,"06441","HARWOOD AV"
487,"06210","ROSS ST"
488,"05972","CHAHOLYN TERR"
489,"05936","CHAHOLYN TERR"
490,"06732","MANOR CREST"
491,"00070","ROBLE RD"
492,"00067","ROBLE RD"
493,"00077","ROBLE RD"
494,"07117","CHABOT RD"
495,"07120","CHABOT RD"
496,"07128","CHABOT RD"
497,"00058","ROBLE RD"
498,"00170","ROBLE RD"
499,"00000","LANDALE RD"
500,"00000","GOLDEN GATE AV"
501,"06801","CHABOT RD"
502,"06708","CHABOT RD"
503,"06680","CHABOT RD"
504,"00010","REATA PL"
505,"00024","REATA PL"
506,"00050","REATA PL"
507,"06300","ROANOKE RD"
508,"07100","CHABOT RD"
509,"07124","CHABOT RD"
510,"07136","CHABOT RD"
511,"00111","ROBLE RD"
512,"00058","ROBLE RD"
513,"05916","MARIE WY"
514,"00004","HILLER DR"
515,"00014","HILLER DR"
516,"00040","NORTH HILL CT"
517,"00007","HILLER DR"
518,"07250","CHABOT RD"
519,"07140","CHABOT RD"
520,"06714","MANOR CREST"
521,"06351","ROANOKE RD"
522,"06375","ROANOKE RD"
523,"00025","REATA PL"
524,"06800","CHABOT RD"
525,"00000","GOLDEN GATE AV"
526,"06794","MANOR CREST"
527,"00000","LANDALE RD"
528,"00000","GOLDEN GATE AV"
529,"06885","CHABOT RD"
530,"06851","CHABOT RD"
531,"06849","CHABOT RD"
532,"00003","REATA PL"
533,"06754","MANOR CREST"
534,"07034","CHABOT RD"
535,"00025","HILLER DR"
536,"00020","NORTH HILL CT"
537,"01610","TUNNEL RD"
538,"01621","TUNNEL RD"
539,"01630","TUNNEL RD"
540,"01640","TUNNEL RD"
541,"01651","TUNNEL RD"
542,"01681","TUNNEL RD"
543,"01700","TUNNEL RD"
544,"01660","TUNNEL RD"
545,"01721","TUNNEL RD"
546,"00455","HILLER DR"
547,"06662","CHARING CROSS RD"
548,"00413","HILLER DR"
549,"00000","HILLER DR"
550,"00540","HILLER DR"
551,"00801","HILLER DR"
552,"01001","HILLER DR"
553,"00000","HILLER DR"
554,"00102","HILLER DR"
555,"00088","HILLER DR"
556,"00050","HILLER DR"
557,"00032","HILLER DR"
558,"00001","NORTH HILL CT"
559,"06657","CHARING CROSS RD"
560,"00400","HILLER DR"
561,"00555","HILLER DR"
562,"00610","HILLER DR"
563,"00650","HILLER DR"
564,"00690","HILLER DR"
565,"00700","HILLER DR"
566,"00900","HILLER DR"
567,"00590","HILLER DR"
568,"00000","HILLER DR"
569,"00095","HILLER DR"
570,"00065","HILLER DR"
571,"00001","SOUTH HILL CT"
572,"00008","NORTH HILL CT"
573,"00049","HILLER DR"
574,"06681","CHARING CROSS RD"
575,"05845","SKYLINE BLVD"
576,"05847","SKYLINE BLVD"
577,"05849","SKYLINE BLVD"
578,"18049","BROADWAY TER"
579,"06120","SKYLINE BLVD"
580,"01730","TUNNEL RD"
581,"01740","TUNNEL RD"
582,"06024","SKYLINE BLVD"
583,"06035","SKYLINE BLVD"
584,"05871","SKYLINE BLVD"
585,"05895","SKYLINE BLVD"
586,"06039","SKYLINE BLVD"
587,"06059","SKYLINE BLVD"
588,"06125","SKYLINE BLVD"
589,"00000","GRIZZLY PEAK BLVD"
590,"00000","GRIZZLY PEAK BLVD"
591,"00000","GRIZZLY PEAK BLVD"
592,"00000","GRIZZLY PEAK BLVD"
593,"00000","GRIZZLY PEAK BLVD"
594,"05200","GRIZZLY PEAK BLVD"
595,"05937","GRIZZLY PEAK BLVD"
596,"06079","GRIZZLY PEAK BLVD"
597,"06176","SKYLINE BLVD"
598,"06901","BALSAM WY"
599,"01516","WEST VIEW DR"
600,"00014","WILLARD PL"
601,"01490","WEST VIEW DR"
602,"01460","WEST VIEW DR"
603,"01427","WEST VIEW DR"
604,"00033","EVERGREEN LN"
605,"00036","EUCALYPTUS PATH"
606,"00027","EUCALYPTUS PATH"
607,"00050","ALVARADO PL"
608,"00116","ALVARADO RD"
609,"00000","PATH HERE"
610,"00073","ALVARADO RD"
611,"00100","ALVARADO RD"
612,"00218","GRAVATT DR"
613,"00188","GRAVATT DR"
614,"00143","GRAVATT DR"
615,"00001","EVERGREEN LN"
616,"00000","SUNSET TRAIL"
617,"00081","ALVARADO PL"
618,"00601","GRAVATT DR"
619,"00639","GRAVATT DR"
620,"00641","GRAVATT DR"
621,"01190","GRAND VIEW DR"
622,"01199","GRAND VIEW DR"
623,"01825","TUNNEL RD"
624,"06800","CHARING CROSS RD"
625,"06880","CHARING CROSS RD"
626,"06832","BUCKINGHAM BLVD"
627,"06868","BUCKINGHAM BLVD"
628,"06875","BUCKINGHAM BLVD"
629,"06900","BUCKINGHAM BLVD"
630,"06890","BUCKINGHAM BLVD"
631,"06943","BUCKINGHAM BLVD"
632,"06963","BUCKINGHAM BLVD"
633,"06926","NORFOLK RD"
634,"06901","NORFOLK RD"
635,"06930","NORFOLK RD"
636,"07028","NORFOLK RD"
637,"07000","WESTMOORLAND DR"
638,"07030","WESTMOORLAND DR"
639,"07048","WESTMOORLAND DR"
640,"07087","WESTMOORLAND DR"
641,"07011","DEVON WY"
642,"07050","NORFOLK RD"
643,"01320","GRAND VIEW DR"
644,"01300","GRAND VIEW DR"
645,"01260","GRAND VIEW DR"
646,"01220","GRAND VIEW DR"
647,"01200","GRAND VIEW DR"
648,"00003","DORIS PL"
649,"00011","DOROTHY PL"
650,"00004","DOROTHY PL"
651,"01641","GRAND VIEW DR"
652,"01650","GRAND VIEW DR"
653,"01560","GRAND VIEW DR"
654,"01516","GRAND VIEW DR"
655,"01450","GRAND VIEW DR"
656,"01400","GRAND VIEW DR"
657,"01375","WEST VIEW DR"
658,"01281","WEST VIEW DR"
659,"00051","VICENTE PL"
660,"01090","WEST VIEW DR"
661,"00015","WEST VIEW DR"
662,"01086","GRAND VIEW DR"
663,"01100","GRAND VIEW DR"
664,"00002","WEST VIEW PL"
665,"01133","WEST VIEW DR"
666,"00017","PERTH PL"
667,"01102","GRAND VIEW DR"
668,"01112","GRAND VIEW DR"
669,"00580","GRAVATT DR"
670,"06818","CHARING CROSS RD"
671,"06811","BUCKINGHAM BLVD"
672,"06839","BUCKINGHAM BLVD"
673,"11059","BROADWAY TER"
674,"06919","BRISTOL DR"
675,"07007","BUCKINGHAM BLVD"
676,"07084","WESTMOORLAND DR"
677,"07041","DEVON WY"
678,"06959","NORFOLK RD"
679,"00000","HILLER DR"
680,"00000","HILLER DR"
681,"00000","HILLER DR"
682,"01420","WEST VIEW DR"
683,"01370","GRAND VIEW DR"
684,"01302","WEST VIEW DR"
685,"01220","WEST VIEW DR"
686,"01852","GRAND VIEW DR"
687,"06855","CHARING CROSS RD"
688,"06858","CHARING CROSS RD"
689,"06806","BRISTOL DR"
690,"06865","BRISTOL DR"
691,"06936","BRISTOL DR"
692,"06956","BUCKINGHAM BLVD"
693,"06958","BRISTOL DR"
694,"06976","BUCKINGHAM BLVD"
695,"06996","BRISTOL DR"
696,"07020","WESTMOORLAND DR"
697,"01885","GRAND VIEW DR"
698,"01875","GRAND VIEW DR"
699,"00000","HILLER DR"
700,"01865","GRAND VIEW DR"
701,"01150","WEST VIEW DR"
702,"00029","PERTH PL"
703,"00000","GRIZZLY PEAK BLVD"
704,"00000","GRIZZLY PEAK BLVD"
705,"00000","GRIZZLY PEAK BLVD"
706,"02265","TUNNEL RD"
707,"02230","TUNNEL RD"
708,"02200","TUNNEL RD"
709,"02180","TUNNEL RD"
710,"02160","TUNNEL RD"
711,"02145","TUNNEL RD"
712,"02120","TUNNEL RD"
713,"02113","TUNNEL RD"
714,"02097","TUNNEL RD"
715,"02093","TUNNEL RD"
716,"02080","TUNNEL RD"
717,"02063","TUNNEL RD"
718,"01747","TUNNEL RD"
719,"01627","TUNNEL RD"
720,"01761","TUNNEL RD"
721,"01780","TUNNEL RD"
722,"01797","TUNNEL RD"
723,"01881","TUNNEL RD"
724,"01891","TUNNEL RD"
725,"01903","TUNNEL RD"
726,"01981","TUNNEL RD"
727,"01915","TUNNEL RD"
728,"01909","TUNNEL RD"
729,"01991","TUNNEL RD"
730,"02001","TUNNEL RD"
731,"07101","BUCKINGHAM BLVD"
732,"07046","BUCKINGHAM BLVD"
733,"07027","BUCKINGHAM BLVD"
734,"02545","TUNNEL RD"
735,"02328","TUNNEL RD"
736,"02331","TUNNEL RD"
737,"02333","TUNNEL RD"
738,"02338","TUNNEL RD"
739,"02340","TUNNEL RD"
740,"02342","TUNNEL RD"
