OBJECTID,NAME,TYPE,ADDRESS,CITY/STATE
181,Keller Ave Median,Park,Keller Ave & Campus Dr,"Oakland, CA"
182,Fontaine Median,Park,Fountaine St & Crest Ave,"Oakland, CA"
183,Elysian Fields Median,Park,Elysian Fields Dr & Golf Links Rd,"Oakland, CA"
184,Joaquin Miller Rd Median,Park,3850 Joaquin Miller Rd,"Oakland, CA"
185,High St Median,Park,High St & Pampas Ave,"Oakland, CA"
186,Kennedy St Median,Park,Kennedy St & Ford St,"Oakland, CA"
187,Fruitvale Ave Median,Park,Fruitvale Ave & Montana St,"Oakland, CA"
188,Kingsland Ave Median,Park,Kingsland Ave & Virginia Ave,"Oakland, CA"
189,Telegraph Ave Median,Park,Telegraph Ave & 16th St,"Oakland, CA"
190,Mountain Blvd / Park Blvd Median,Park,Mountain Blvd & Scout Rd,"Oakland, CA"
191,Golden Gate Ave & Cross Rd Median,Park,Golden Gate Ave & Cross Rd,"Oakland, CA"
192,Haddon Rd / Prospect Ave Median,Park,Haddon Rd & Prospect Av,"Oakland, CA"
193,Airport Access Median,Park,Airport Access Rd & Hegenberger Rd,"Oakland, CA"
194,Baldwin St Median,Park,650 Hegenberger Rd,"Oakland, CA"
195,42nd Ave Median,Park,42nd Ave & Bond St,"Oakland, CA"
196,Storer Ave Median,Park,Storer Ave & Camden St,"Oakland, CA"
197,E 18th St Median,Park,E 18th St & 3rd Ave,"Oakland, CA"
198,12th St Dam Median,Park,12th St & 1st Ave,"Oakland, CA"
199,880 Fwy / 98th Ave Streetscape,Park,98th Ave & NB 98th Onrp Av,"Oakland, CA"
200,San Leandro St Median,Park,San Leandro St & 69th Ave,"Oakland, CA"
201,International / Fruitvale Median,Park,International Blvd & 34th Ave,"Oakland, CA"
202,Valdez St Median,Park,Valdez St & 27th St,"Oakland, CA"
203,Aileen Median,Park,Aileen St & Adeline St,"Oakland, CA"
204,Fontaine / Mountain Median,Park,Mountain Blvd & Fontaine Overcrossing,"Oakland, CA"
205,Thermal St & 90th Ave Median,Park,Thermal St & 90th Ave,"Oakland, CA"
206,Hamilton St Median,Park,Hamilton St & Hegenberger Rd,"Oakland, CA"
207,Aloha Median,Park,Athol Ave & Newton Ave,"Oakland, CA"
208,7th St Median,Park,7th St & Linden St,"Oakland, CA"
209,Lake Park Ave Median,Park,480 Lake Park Ave,"Oakland, CA"
210,Santa Clara Ave & Grand Ave Median,Park,Santa Clara Ave & Grand Ave,"Oakland, CA"
211,Skyline & Stables Median,Park,Skyline Blvd & Skyway Ln,"Oakland, CA"
212,MacArthur / Foothill Median,Park,MacArthur Blvd & Foothill Blvd,"Oakland, CA"
213,38th Ave Median,Park,38th Ave & Sutter St,"Oakland, CA"
214,Wesley Ave Median,Park,Wesley Ave & Newton Ave,"Oakland, CA"
215,Lakeside Dr / 14th St Median,Park,Lakeside Dr & 14th St,"Oakland, CA"
216,Skyline & Golf Links Rd Median,Park,14998 Skyline Blvd,"Oakland, CA"
217,Calavaras Ave Median,Park,Calavaras Ave & SB Mountain Offrp Bl,"Oakland, CA"
218,Skyline & Joaquin Miller Median,Park,Skyline Blvd & Kimberlin Heights Dr,"Oakland, CA"
219,Mountain Blvd / Seminary Median,Park,5721 Mountain Blvd,"Oakland, CA"
220,Redding St Median,Park,Redding St & Kingsland Ave,"Oakland, CA"
221,Butters Dr Median,Park,2797 Butters Dr,"Oakland, CA"
222,Glenwood Glade Median,Park,Glenwood Glade & NB Broadway Offrp Tr,"Oakland, CA"
223,Trestle Glen Median,Park,Trestle Glen Blvd & Lakeshore Ave,"Oakland, CA"
224,Martin Luther King Jr Way Median,Park,Martin Luther King Jr Way & 58th St,"Oakland, CA"
225,Bayo Vista / Harrison Island,Park,Bayo Vista Ave & Harrison St,"Oakland, CA"
226,Bayo Vista / Oakland Island,Park,Bayo Vista Ave & Oakland Ave,"Oakland, CA"
227,5th Ave & E 8th St Island,Park,500 E 8th St,"Oakland, CA"
228,7th St & Channel Park Median,Park,E 7th St & 7th St,"Oakland, CA"
229,Beaumont Ave Island,Park,Beaumont Ave & E 38th St,"Oakland, CA"
230,Capital St / Merritt Ave Island,Park,Capital St & Merritt Ave,"Oakland, CA"
231,E 8th St Island,Park,E 8th St & 10th Ave,"Oakland, CA"
232,Park Blvd Island,Park,Park Blvd & Glenfield Ave,"Oakland, CA"
233,McKinley AVe / Kenwyn Rd Island,Park,McKinley Ave & Kenwyn Rd,"Oakland, CA"
234,Market St (Lower) Median,Park,Market St & 12th St,"Oakland, CA"
235,Center St / 12th St Island,Park,12th St & Center St,"Oakland, CA"
236,Isabella St Island,Park,Isabella St & West St,"Oakland, CA"
237,Burlington St Island,Park,2482 Burlington St,"Oakland, CA"
238,40th St Island,Park,40th St & Telegraph Ave,"Oakland, CA"
239,51st St Island,Park,51st St & Shafter Ave,"Oakland, CA"
240,Market St Island,Park,Market St & 60th St,"Oakland, CA"
241,Pleasant Valley Ave Median,Park,Pleasant Vallley Ave & Moraga Ave,"Oakland, CA"
242,Miles Ave / College Ave Island,Park,Miles Ave & College Ave,"Oakland, CA"
243,Bay Pl Island,Park,Bay Pl & Montecito Ave,"Oakland, CA"
244,Moss Way & W MacArthur Median,Park,Moss Way & Fairmount Ave,"Oakland, CA"
245,Ridgeway Ave & Gilbert St Median,Park,Ridgeway Ave & Gilbert St,"Oakland, CA"
246,Ardsley Median,Park,1042 E 33rd St,"Oakland, CA"
247,27th St Median,Park,27th St & Harrison St,"Oakland, CA"
248,Broadway Median,Park,Broadway & 28th St,"Oakland, CA"
249,Oakland Ave Median,Park,Oakland Ave & 29th St,"Oakland, CA"
250,San Pablo Ave Median,Park,San Pablo Ave & 35th St,"Oakland, CA"
251,10th-11th-12th St Median,Park,839 12th St,"Oakland, CA"
252,12th St & West St Median,Park,12th St & West St,"Oakland, CA"
253,40th St Way Median,Park,249 40th St Way,"Oakland, CA"
254,5th St Median,Park,5th St & NB Union Onrp St,"Oakland, CA"
255,8th St Streetscape,Park,8th St & Chester St,"Oakland, CA"
256,Broadway Terrace Median,Park,Broadway Terrace & SB Broadway Offrp Tr,"Oakland, CA"
257,Campus Dr Median,Park,12706 Campus Dr,"Oakland, CA"
258,E 7th St Median,Park,E 7th St & Kennedy St,"Oakland, CA"
259,Eastlake Streetscape,Park,International Blvd & 7th Ave,"Oakland, CA"
260,Excelsior Ave & 13th Ave Median,Park,Excelsior Ave & 13th Ave,"Oakland, CA"
261,Frontage Road Streetscape (along 880),Park,Frontage Rd & 7th St,"Oakland, CA"
262,Grosvenor Pl & Holman Rd Median,Park,Grosvenor Pl & Holman Rd,"Oakland, CA"
263,Highland Ave Median,Park,Highland Ave & E 25th St,"Oakland, CA"
264,International & Bancroft Median,Park,International Blvd & Bancroft Way,"Oakland, CA"
265,Jean St Median,Park,700 Jean St,"Oakland, CA"
266,Stanford Ave Median,Park,Stanford Ave & 59th St,"Oakland, CA"
267,Tompkins Ave Median,Park,Tompkins Ave & Huntington St,"Oakland, CA"
268,Urban Renewal Median,Park,E 20th St & 12th Ave,"Oakland, CA"
269,W MacArthur Blvd Median,Park,W MacArthur Blvd & Latimer Pl,"Oakland, CA"
270,West St & 17th St Median,Park,West St & 17th St,"Oakland, CA"
271,Racine St & Telegraph Ave Median,Park,Racine St & Telegraph Ave,"Oakland, CA"
272,Mandela Pkwy Median,Park,3549 Mandela Pkwy,"Oakland, CA"
273,Santa Clara Ave & Elwood Ave Median,Park,Santa Clara Ave & Elwood Ave,"Oakland, CA"
274,Chestnut St Streetscape,Park,1400 Chestnut St,"Oakland, CA"
275,Lagunitas Path,Park,499 Lagunitas Ave,"Oakland, CA"
276,11th St & Oak St Harscape,Park,11th St & Oak St,"Oakland, CA"
