address1,address2
MACARTHUR BLVD,39TH AVE
MACARTHUR BLVD,73RD AVE_FOOTHILL BLVD
TELEGRAPH AVE,WILLIAMS
E.12TH ST,FRUITVALE (SOUTH)
MACARTHUR BLVD,90TH AVE
MACARTHUR BLVD,COOLIDGE AVE
HARRISON ST,LAKESIDE DR
,
FOOTHILL BLVD,38TH AVE
KENNEDY,23RD AVE
REDWOOD RD,ALISO AVE
E.12TH ST,FRUITVALE AVE (NORTH)
MLK JR. WAY,5TH ST
ALAMEDA AVE,E/O E. 8TH ST
23RD AVE,E.11TH ST
FOOTHILL BLVD,47TH AVE
MANDELA PKWY,12TH ST
MARKET ST,W.GRAND AVE
SAN PABLO AVE,16TH ST
MACARTHUR BLVD,TELEGRAPH AVE
TELEGRAPH AVE,56TH ST OFF-RAMP
INTERNATIONAL BLVD,23RD AVE
MACARTHUR BLVD,RITCHIE ST
AIRPORT ACCESS RD,DOOLITTLE DR
CLAREMONT AVE,HUDSON ST
BROADWAY,KAISER/MOSSWOOD
E.12TH ST,14TH AVE_E8TH
TELEGRAPH AVE,24TH ST
MACARTHUR BLVD,FRUITVALE AVE
INTERNATIONAL BLVD,10TH AVE
HARRISON ST,20TH ST
E.15TH ST,1ST  AVE
SAN PABLO AVE,30TH ST & MARKET ST
FOOTHILL BLVD,LAKESHORE AVE
CLAREMONT AVE,ASHBY
FRUITVALE AVE,HAROLD ST
HARRISON ST,21ST ST
JACKSON ST,10TH ST
SAN PABLO AVE,ALCATRAZ
FOOTHILL BLVD,23RD AVE
BANCROFT AVE,57TH AVE & TRASK ST
SHAFTER AVE,51ST ST
INTERNATIONAL BLVD,34TH AVE
WEBSTER,17TH ST
14TH AVE,E.21ST ST
MLK JR. WAY,55TH ST
BROADWAY,42ND ST
GRAND AVE,NORTHGATE AVE
CLAY ST,12TH ST
HARRISON ST,11TH ST
35TH AVE,GALINDO ST
WASHINGTON,8TH ST
BRUSH,14TH ST & CASTRO
LAKESIDE DR,JACKSON ST
CLAREMONT AVE,COLBY_FORREST ST
W.GRAND AVE,ADELINE ST
PLEASANT VALLEY,PIEDMONT AVE
FRANKLIN ST,20TH ST
MLK JR. WAY,10TH ST
WEBSTER,14TH ST
42ND AVE,BOND ST
FRUITVALE AVE,E.15TH  ST
JACKSON ST,7TH ST
DOOLITTLE DR,SWAN WAY
ADELINE ST,12TH ST
FRUITVALE AVE,E.27TH  ST
BROADWAY,19TH ST
WEBSTER,8TH ST
WEBSTER,11TH ST
INTERNATIONAL BLVD,42ND AVE
JEFFERSON ST,14TH ST
PLEASANT VALLEY,MORAGA AVE
SAN PABLO AVE,59TH ST
OAK ST,9TH ST
HEGENBERGER RD,EDGEWATER DR
SAN LEANDRO ST,98TH AVE
JACKSON ST,11TH ST
TELEGRAPH AVE,40TH ST
MOUNTAIN BLVD,SNAKE RD
SAN LEANDRO ST,50TH AVE
SAN PABLO AVE,W. GRAND AVE
MACARTHUR BLVD,EXCELSIOR_38TH_CANNON
BROADWAY,11TH ST
SEMINARY AVE,E.17TH ST
MLK JR. WAY,40TH ST
FOOTHILL BLVD,16TH
MARKET ST,6TH ST
BOND ST,47TH AVE
ADELINE ST,3RD ST
SAN LEANDRO ST,92ND AVE
INTERNATIONAL BLVD,4TH AVE
WEST ST,27TH ST
MACARTHUR BLVD,LOMA VISTA
TELEGRAPH AVE,16TH ST
23RD AVE,E.10TH ST
W.GRAND AVE,NORTHGATE AVE
35TH AVE,HARPER ST
98TH AVE,B ST
WEST ST,36TH ST
MLK JR. WAY,7TH ST
BROADWAY,20TH ST
BROADWAY,10TH ST
GRAND AVE,MARTIN LUTHER KING JR. WAY
PERALTA,8TH ST
SAN PABLO AVE,27TH ST
LAKESHORE AVE,MID BLOCK XING
CHATHAM,13TH AVE
FOOTHILL BLVD,FRUITVALE
E.12TH ST,5TH AVE
MOUNTAIN BLVD,VILLAGE SQUARE
MARKET ST,14TH ST
FRUITVALE AVE,ALAMEDA AVE
FRANKLIN ST,9TH ST
COOLIDGE AVE,MONTANA & RHONDA ST
FRANKLIN ST,14TH ST
ADELINE,18TH ST
FRUITVALE AVE,E.8TH ST & ELMWOOD ST
CLAY ST,9TH ST
E.12TH ST,14TH AVE (WB)
ADELINE ST,5TH ST
SAN LEANDRO ST,33RD AVE
MIDDLE HARBOR,EL DORADO
EDES AVE,JONES AVE
SAN PABLO AVE,MLK JR WAY_CASTRO ST
MLK JR. WAY,52ND ST
SAN PABLO AVE,63RD ST
TELEGRAPH AVE,52ND ST & CLAREMONT AVE
HARRISON ST,19TH ST
INTERNATIONAL BLVD,25TH AVE
E.12TH ST,23RD AVE
WASHINGTON,5TH ST
MACARTHUR BLVD,FAIRMONT AVE_MOSS AVE
14TH AVE,E.24TH ST
BROADWAY,PIEDMONT AND HAWTHORNE AVE
FRANKLIN ST,19TH ST
REDWOOD RD,CAMPUS DR
FRANKLIN ST,12TH ST
JEFFERSON ST,5TH ST
HIGH ST,BROOKDALE AVE
SAN LEANDRO ST,75TH AVE
GRAND AVE,WILDWOOD
ADELINE ST,7TH ST
FRUITVALE AVE,LOMA VISTA
SKYLINE BLVD,BALMORAL DR
98TH AVE,EMPIRE RD
FOOTHILL BLVD,35TH AVE
E.10TH ST,5TH AVE
MORAGA AVE,MONTCLAIR REC CENTER
FRANKLIN ST,21ST ST
CLAY ST,14TH ST
HIGH ST,OAKPORT ST
HIGH ST,COLISEUM WAY
AIRPORT DR,AIRPORT TERMINAL CROSSWALK 2
MACARTHUR BLVD,HOWE ST
WEBSTER,13TH ST
INTERNATIONAL BLVD,90TH AVE
MACARTHUR BLVD,PIERSINS_RICHARDS RD GATE
WASHINGTON,9TH ST
FOOTHILL BLVD,48TH AVE
MACARTHUR BLVD,LINCOLN AVE
MADISON ST,9TH ST
WEBSTER,9TH ST
LAKESHORE AVE,HANOVER ST
MARKET ST,40TH ST
MACARTHUR BLVD,82ND AVE
14TH ST,CITY HALL PLZ
E.15TH ST,3RD  AVE
BROADWAY,MANILA & MONROE AVE
MORAGA AVE,LA SALLE AVE
WEBSTER,40TH ST
TELEGRAPH AVE,30TH ST
CLAY ST,MIDBLOCK N.O. OFF 12TH
E.12TH ST,22ND AVE
MADISON ST,6TH ST
BROADWAY,26TH ST & WEBSTER
23RD AVE,E. 27TH ST
,
,
PARK BLVD,GLENFIELD AVE
73RD AVE,WELD ST
SEMINARY AVE,OUTLOOK AVE
MACARTHUR BLVD,HIGH ST
JEFFERSON ST,MIDBLOCK 12TH & 14TH
MORAGA AVE,THORNHILL DR
SAN LEANDRO ST,FRUITVALE AVE
TELEGRAPH AVE,42ND ST
E.15TH ST,8TH  AVE
MACARTHUR BLVD,PARK BLVD
LAKESHORE AVE,TRESTLE GLEN RD
EDES AVE,105TH AVE
MACARTHUR BLVD,OAKLAND AVE & SANTA CLARA
98TH AVE,E ST
SAN LEANDRO ST,85TH AVE
7TH ST,FRANKLIN ST
E.18TH ST,3RD AVE
98TH AVE,NIMITZ FWY ON OFF RAMPS
KENNEDY ST,E.7TH ST
OAK ST,5TH ST
BANCROFT AVE,55TH AVE & HARVEY ST
BROADWAY,6TH ST
INTERNATIONAL BLVD,4TH AVE
BANCROFT AVE,73RD AVE
CASTRO,6TH ST
JEFFERSON ST,9TH ST
