name,address
Grosvenor Pl & Holman Rd Median,Grosvenor Pl & Holman Rd
Highland Ave Median,Highland Ave & E 25th St
International & Bancroft Median,International Blvd & Bancroft Way
Jean St Median,700 Jean St
Stanford Ave Median,Stanford Ave & 59th St
Tompkins Ave Median,Tompkins Ave & Huntington St
Urban Renewal Median,E 20th St & 12th Ave
W MacArthur Blvd Median,W MacArthur Blvd & Latimer Pl
West St & 17th St Median,West St & 17th St
Racine St & Telegraph Ave Median,Racine St & Telegraph Ave
Mandela Pkwy Median,3549 Mandela Pkwy
Santa Clara Ave & Elwood Ave Median,Santa Clara Ave & Elwood Ave
Chestnut St Streetscape,1400 Chestnut St
Lagunitas Path,499 Lagunitas Ave
11th St & Oak St Harscape,11th St & Oak St
