OBJECTID,TYPE,STREET ADDRESS,CITY/STATE
314,Street Lights,6316 COLBY ST,"Oakland, CA"
315,Street Lights,6300 COLBY ST,"Oakland, CA"
316,Street Lights,6290 COLBY ST,"Oakland, CA"
317,Street Lights,6262 COLBY ST,"Oakland, CA"
318,Street Lights,4056 FOOTHILL BLVD,"Oakland, CA"
319,Street Lights,6444 REGENT ST,"Oakland, CA"
320,Street Lights,6436 REGENT ST,"Oakland, CA"
321,Street Lights,6424 REGENT ST,"Oakland, CA"
322,Street Lights,6416 REGENT ST,"Oakland, CA"
323,Street Lights,6400 REGENT ST,"Oakland, CA"
324,Street Lights,405 NORTH ST,"Oakland, CA"
325,Street Lights,419 NORTH ST,"Oakland, CA"
326,Street Lights,439 NORTH ST,"Oakland, CA"
327,Street Lights,471 NORTH ST,"Oakland, CA"
328,Street Lights,479 NORTH ST,"Oakland, CA"
329,Street Lights,117 VICENTE RD,"Oakland, CA"
330,Street Lights,145 VICENTE RD,"Oakland, CA"
331,Street Lights,41 VICENTE RD,"Oakland, CA"
332,Street Lights,134 VICENTE RD,"Oakland, CA"
333,Street Lights,1010 GRAND VIEW DR,"Oakland, CA"
334,Street Lights,1050 GRAND VIEW DR,"Oakland, CA"
335,Street Lights,1074 GRAND VIEW DR,"Oakland, CA"
336,Street Lights,43 PERTH PL,"Oakland, CA"
337,Street Lights,510 GRAVATT DR,"Oakland, CA"
338,Street Lights,540 GRAVATT DR,"Oakland, CA"
339,Street Lights,450 GRAVATT DR,"Oakland, CA"
340,Street Lights,440 GRAVATT DR,"Oakland, CA"
341,Street Lights,10 STEVENS WY,"Oakland, CA"
342,Street Lights,379 GRAVATT DR,"Oakland, CA"
343,Street Lights,295 GRAVATT DR,"Oakland, CA"
344,Street Lights,267 GRAVATT DR,"Oakland, CA"
345,Street Lights,248 GRAVATT DR,"Oakland, CA"
346,Street Lights,160 GRAVATT DR,"Oakland, CA"
347,Street Lights,111 GRAVATT DR,"Oakland, CA"
348,Street Lights,101 GRAVATT DR,"Oakland, CA"
349,Street Lights,800 ALVARADO RD,"Oakland, CA"
350,Street Lights,80 GRAVATT DR,"Oakland, CA"
351,Street Lights,2 GRAVATT DR,"Oakland, CA"
352,Street Lights,1500 WEST VIEW DR,"Oakland, CA"
353,Street Lights,101 VICENTE RD,"Oakland, CA"
354,Street Lights,128 VICENTE RD,"Oakland, CA"
355,Street Lights,1000 GRAND VIEW DR,"Oakland, CA"
356,Street Lights,1041 GRAND VIEW DR,"Oakland, CA"
357,Street Lights,389 GRAVATT DR,"Oakland, CA"
358,Street Lights,33 STEVENS WY,"Oakland, CA"
359,Street Lights,357 GRAVATT DR,"Oakland, CA"
360,Street Lights,245 GRAVATT DR,"Oakland, CA"
361,Street Lights,323 GRAVATT DR,"Oakland, CA"
362,Street Lights,781 ALVARADO RD,"Oakland, CA"
363,Street Lights,16 GRAVATT DR,"Oakland, CA"
364,Street Lights,32 GRAVATT DR,"Oakland, CA"
365,Street Lights,54 GRAVATT DR,"Oakland, CA"
366,Street Lights,757 ALVARADO RD,"Oakland, CA"
367,Street Lights,29 SLATER LN,"Oakland, CA"
368,Street Lights,57 EVERGREEN LN,"Oakland, CA"
369,Street Lights,491 NORTH ST,"Oakland, CA"
370,Street Lights,501 NORTH ST,"Oakland, CA"
371,Street Lights,529 NORTH ST,"Oakland, CA"
372,Street Lights,547 NORTH ST,"Oakland, CA"
373,Street Lights,565 NORTH ST,"Oakland, CA"
374,Street Lights,571 NORTH ST,"Oakland, CA"
375,Street Lights,6372 RACINE ST,"Oakland, CA"
376,Street Lights,6362 RACINE ST,"Oakland, CA"
377,Street Lights,6330 RACINE ST,"Oakland, CA"
378,Street Lights,6600 DEAKIN ST,"Oakland, CA"
379,Street Lights,6620 DEAKIN ST,"Oakland, CA"
380,Street Lights,6656 DANA ST,"Oakland, CA"
381,Street Lights,6612 DANA ST,"Oakland, CA"
382,Street Lights,6642 DANA ST,"Oakland, CA"
383,Street Lights,6536 DANA ST,"Oakland, CA"
384,Street Lights,6508 DANA ST,"Oakland, CA"
385,Street Lights,6339 DANA ST,"Oakland, CA"
386,Street Lights,6360 DANA ST,"Oakland, CA"
387,Street Lights,6348 DANA ST,"Oakland, CA"
388,Street Lights,6304 DANA ST,"Oakland, CA"
389,Street Lights,491 65TH ST,"Oakland, CA"
390,Street Lights,479 65TH ST,"Oakland, CA"
391,Street Lights,465 65TH ST,"Oakland, CA"
392,Street Lights,455 65TH ST,"Oakland, CA"
393,Street Lights,443 65TH ST,"Oakland, CA"
394,Street Lights,431 65TH ST,"Oakland, CA"
395,Street Lights,434 66TH ST,"Oakland, CA"
396,Street Lights,6409 IRWIN ST,"Oakland, CA"
397,Street Lights,6422 IRWIN ST,"Oakland, CA"
398,Street Lights,6439 IRWIN ST,"Oakland, CA"
399,Street Lights,6450 IRWIN ST,"Oakland, CA"
400,Street Lights,6505 WHEELER ST,"Oakland, CA"
401,Street Lights,6334 TELEGRAPH AV,"Oakland, CA"
402,Street Lights,6400 TELEGRAPH AV,"Oakland, CA"
403,Street Lights,6366 TELEGRAPH AV,"Oakland, CA"
404,Street Lights,6522 TELEGRAPH AV,"Oakland, CA"
405,Street Lights,6436 TELEGRAPH AV,"Oakland, CA"
406,Street Lights,6606 TELEGRAPH AV,"Oakland, CA"
407,Street Lights,5957 CHABOT CREST,"Oakland, CA"
408,Street Lights,5927 CHABOT CREST,"Oakland, CA"
409,Street Lights,5845 PATTON ST,"Oakland, CA"
410,Street Lights,5833 PATTON ST,"Oakland, CA"
411,Street Lights,5819 PATTON ST,"Oakland, CA"
412,Street Lights,5887 CHABOT CT,"Oakland, CA"
413,Street Lights,6065 ROSS ST,"Oakland, CA"
414,Street Lights,6021 ROSS ST,"Oakland, CA"
415,Street Lights,6001 ROSS ST,"Oakland, CA"
416,Street Lights,6216 HARWOOD AV,"Oakland, CA"
417,Street Lights,6200 HARWOOD AV,"Oakland, CA"
418,Street Lights,5915 ROSS ST,"Oakland, CA"
419,Street Lights,37 EUCALYPTUS RD,"Oakland, CA"
420,Street Lights,84 EUCALYPTUS RD,"Oakland, CA"
421,Street Lights,79 ROSS CIR,"Oakland, CA"
422,Street Lights,55 ROSS CIR,"Oakland, CA"
423,Street Lights,19 ROSS CIR,"Oakland, CA"
424,Street Lights,6217 ROSS CIR,"Oakland, CA"
425,Street Lights,6221 MANOA ST,"Oakland, CA"
426,Street Lights,6241 MANOA ST,"Oakland, CA"
